Streaming output truncated to the last 5000 lines.
>49930, d1[0.451] d2[0.244] g[4.782]
>49931, d1[0.263] d2[0.458] g[4.990]
>49932, d1[0.256] d2[0.286] g[4.826]
>49933, d1[0.249] d2[0.318] g[5.905]
>49934, d1[0.396] d2[0.393] g[2.383]
>49935, d1[0.313] d2[0.588] g[5.095]
>49936, d1[0.402] d2[0.269] g[4.897]
>49937, d1[0.199] d2[0.445] g[5.322]
>49938, d1[0.181] d2[0.212] g[5.730]
>49939, d1[0.313] d2[0.280] g[7.788]
>49940, d1[0.447] d2[0.227] g[4.612]
>49941, d1[0.264] d2[0.336] g[4.830]
>49942, d1[0.233] d2[0.349] g[4.468]
>49943, d1[0.393] d2[0.391] g[1.875]
>49944, d1[0.487] d2[0.291] g[4.504]
>49945, d1[0.328] d2[0.340] g[4.036]
>49946, d1[0.255] d2[0.299] g[4.426]
>49947, d1[0.211] d2[0.362] g[4.397]
>49948, d1[0.229] d2[0.443] g[4.610]
>49949, d1[0.286] d2[0.219] g[4.804]
>49950, d1[0.230] d2[0.325] g[6.581]
>49951, d1[0.443] d2[0.336] g[4.777]
>49952, d1[0.321] d2[0.357] g[5.835]
>49953, d1[0.501] d2[0.622] g[4.522]
>49954, d1[0.358] d2[0.335] g[4.526]
>49955, d1[0.226] d2[0.340] g[5.738]
>49956, d1[0.482] d2[0.259] g[4.549]
>49957, d1[0.417] d2[0.282] g[3.170]
>49958, d1[0.394] d2[0.320] g[4.211]
>49959, d1[0.426] d2[0.307] g[3.764]
>49960, d1[0.433] d2[0.273] g[3.620]
>49961, d1[0.231] d2[0.385] g[4.946]
>49962, d1[0.324] d2[0.326] g[5.261]
>49963, d1[0.413] d2[0.356] g[4.180]
>49964, d1[0.378] d2[0.459] g[5.450]
>49965, d1[0.274] d2[0.373] g[4.949]
>49966, d1[0.425] d2[0.295] g[4.808]
>49967, d1[0.430] d2[0.262] g[3.710]
>49968, d1[0.271] d2[0.416] g[4.916]
>49969, d1[0.219] d2[0.432] g[3.543]
>49970, d1[0.423] d2[0.324] g[3.017]
>49971, d1[0.424] d2[0.328] g[2.389]
>49972, d1[0.459] d2[0.267] g[5.162]
>49973, d1[0.474] d2[0.254] g[3.925]
>49974, d1[0.363] d2[0.283] g[4.144]
>49975, d1[0.314] d2[0.361] g[3.483]
>49976, d1[0.273] d2[0.295] g[5.151]
>49977, d1[0.240] d2[0.488] g[3.852]
>49978, d1[0.352] d2[0.426] g[2.484]
>49979, d1[0.369] d2[0.336] g[4.974]
