Streaming output truncated to the last 5000 lines.
>50998, d1[0.326] d2[0.443] g[4.519]
>50999, d1[0.350] d2[0.335] g[4.742]
>51000, d1[0.347] d2[0.342] g[3.776]
>51001, d1[0.377] d2[0.364] g[1.359]
>51002, d1[0.532] d2[0.234] g[5.272]
>51003, d1[0.469] d2[0.256] g[4.824]
>51004, d1[0.397] d2[0.351] g[4.090]
>51005, d1[0.385] d2[0.287] g[4.088]
>51006, d1[0.311] d2[0.341] g[4.693]
>51007, d1[0.396] d2[0.300] g[3.859]
>51008, d1[0.345] d2[0.354] g[3.479]
>51009, d1[0.169] d2[0.286] g[5.260]
>51010, d1[0.296] d2[0.407] g[3.295]
>51011, d1[0.347] d2[0.387] g[1.810]
>51012, d1[0.346] d2[0.389] g[4.509]
>51013, d1[0.417] d2[0.349] g[3.484]
>51014, d1[0.245] d2[0.568] g[4.591]
>51015, d1[0.279] d2[0.311] g[4.899]
>51016, d1[0.423] d2[0.284] g[3.823]
>51017, d1[0.411] d2[0.332] g[3.410]
>51018, d1[0.282] d2[0.341] g[4.078]
>51019, d1[0.194] d2[0.460] g[4.756]
>51020, d1[0.406] d2[0.278] g[3.876]
>51021, d1[0.474] d2[0.267] g[3.342]
>51022, d1[0.325] d2[0.419] g[3.678]
>51023, d1[0.213] d2[0.309] g[4.562]
>51024, d1[0.369] d2[0.359] g[1.241]
>51025, d1[0.286] d2[0.271] g[3.485]
>51026, d1[0.300] d2[0.385] g[4.626]
>51027, d1[0.370] d2[0.306] g[3.832]
>51028, d1[0.342] d2[0.422] g[1.751]
>51029, d1[0.268] d2[0.430] g[4.520]
>51030, d1[0.251] d2[0.316] g[4.948]
>51031, d1[0.384] d2[0.345] g[1.874]
>51032, d1[0.441] d2[0.284] g[3.691]
>51033, d1[0.419] d2[0.256] g[4.995]
>51034, d1[0.218] d2[0.358] g[5.202]
>51035, d1[0.173] d2[0.274] g[4.430]
>51036, d1[0.415] d2[0.325] g[3.497]
>51037, d1[0.422] d2[0.324] g[4.182]
>51038, d1[0.378] d2[0.406] g[2.198]
>51039, d1[0.417] d2[0.342] g[2.543]
>51040, d1[0.345] d2[0.383] g[4.232]
>51041, d1[0.428] d2[0.303] g[4.242]
>51042, d1[0.269] d2[0.486] g[2.352]
>51043, d1[0.211] d2[0.325] g[5.338]
>51044, d1[0.250] d2[0.353] g[6.258]
>51045, d1[0.379] d2[0.350] g[1.323]
>51046, d1[0.388] d2[0.290] g[4.404]
>51047, d1[0.425] d2[0.328] g[4.071]
>51048, d1[0.344] d2[0.424] g[4.084]
>51049, d1[0.417] d2[0.285] g[3.071]
>51050, d1[0.295] d2[0.346] g[4.747]
>51051, d1[0.358] d2[0.370] g[4.061]
>51052, d1[0.165] d2[0.242] g[4.150]
>51053, d1[0.215] d2[0.408] g[4.818]
>51054, d1[0.450] d2[0.300] g[2.339]
>51055, d1[0.377] d2[0.270] g[4.071]
>51056, d1[0.334] d2[0.287] g[4.315]
>51057, d1[0.236] d2[0.403] g[4.658]
>51058, d1[0.289] d2[0.343] g[3.975]
>51059, d1[0.291] d2[0.343] g[4.545]
>51060, d1[0.160] d2[0.319] g[5.421]
>51061, d1[0.185] d2[0.299] g[4.620]
>51062, d1[0.467] d2[0.298] g[4.130]
>51063, d1[0.473] d2[0.250] g[3.611]
>51064, d1[0.386] d2[0.315] g[3.985]
>51065, d1[0.298] d2[0.325] g[2.269]
>51066, d1[0.206] d2[0.324] g[5.239]
>51067, d1[0.322] d2[0.339] g[5.079]
>51068, d1[0.241] d2[0.328] g[2.759]
>51069, d1[0.252] d2[0.437] g[3.838]
>51070, d1[0.223] d2[0.297] g[4.999]
>51071, d1[0.237] d2[0.355] g[4.814]
>51072, d1[0.323] d2[0.245] g[4.747]
>51073, d1[0.305] d2[0.407] g[1.796]
>51074, d1[0.263] d2[0.475] g[4.740]
>51075, d1[0.149] d2[0.212] g[5.644]
>51076, d1[0.455] d2[0.368] g[3.356]
>51077, d1[0.410] d2[0.240] g[5.467]
>51078, d1[0.349] d2[0.492] g[3.000]
>51079, d1[0.323] d2[0.387] g[2.310]
>51080, d1[0.326] d2[0.390] g[4.373]
>51081, d1[0.266] d2[0.350] g[5.948]
>51082, d1[0.238] d2[0.290] g[5.073]
>51083, d1[0.403] d2[0.265] g[3.879]
>51084, d1[0.279] d2[0.296] g[4.141]
>51085, d1[0.329] d2[0.626] g[3.663]
>51086, d1[0.218] d2[0.376] g[4.679]
>51087, d1[0.373] d2[0.346] g[4.172]
>51088, d1[0.373] d2[0.333] g[4.429]
>51089, d1[0.380] d2[0.361] g[3.055]
>51090, d1[0.284] d2[0.438] g[4.556]
>51091, d1[0.401] d2[0.235] g[4.305]
>51092, d1[0.472] d2[0.292] g[2.885]
>51093, d1[0.360] d2[0.373] g[1.712]
>51094, d1[0.265] d2[0.328] g[4.612]
>51095, d1[0.305] d2[0.415] g[4.139]
>51096, d1[0.304] d2[0.347] g[4.426]
>51097, d1[0.198] d2[0.480] g[4.989]
>51098, d1[0.382] d2[0.311] g[4.482]
>51099, d1[0.423] d2[0.343] g[2.966]
>51100, d1[0.382] d2[0.430] g[3.196]
>51101, d1[0.387] d2[0.364] g[4.201]
>51102, d1[0.353] d2[0.295] g[4.842]
>51103, d1[0.389] d2[0.329] g[4.081]
>51104, d1[0.385] d2[0.278] g[4.386]
>51105, d1[0.282] d2[0.467] g[4.754]
>51106, d1[0.327] d2[0.301] g[4.537]
>51107, d1[0.379] d2[0.296] g[3.695]
>51108, d1[0.308] d2[0.343] g[4.357]
>51109, d1[0.349] d2[0.410] g[3.976]
>51110, d1[0.444] d2[0.291] g[2.713]
>51111, d1[0.249] d2[0.397] g[4.783]
>51112, d1[0.267] d2[0.338] g[4.816]
>51113, d1[0.353] d2[0.276] g[6.048]
>51114, d1[0.301] d2[0.386] g[4.571]
>51115, d1[0.209] d2[0.383] g[5.992]
>51116, d1[0.372] d2[0.295] g[4.274]
>51117, d1[0.350] d2[0.450] g[3.954]
>51118, d1[0.330] d2[0.374] g[3.804]
>51119, d1[0.495] d2[0.284] g[3.064]
>51120, d1[0.335] d2[0.334] g[4.878]
>51121, d1[0.332] d2[0.362] g[4.018]
>51122, d1[0.378] d2[0.303] g[4.452]
>51123, d1[0.266] d2[0.343] g[4.451]
>51124, d1[0.232] d2[0.296] g[5.931]
>51125, d1[0.281] d2[0.431] g[4.124]
>51126, d1[0.218] d2[0.330] g[4.588]
>51127, d1[0.383] d2[0.374] g[1.830]
>51128, d1[0.453] d2[0.332] g[3.685]
>51129, d1[0.466] d2[0.269] g[4.225]
>51130, d1[0.444] d2[0.264] g[4.414]
>51131, d1[0.388] d2[0.344] g[1.812]
>51132, d1[0.367] d2[0.402] g[4.416]
>51133, d1[0.210] d2[0.369] g[5.095]
>51134, d1[0.378] d2[0.292] g[4.464]
>51135, d1[0.340] d2[0.298] g[4.667]
>51136, d1[0.381] d2[0.350] g[1.479]
>51137, d1[0.358] d2[0.301] g[4.340]
>51138, d1[0.354] d2[0.327] g[4.165]
>51139, d1[0.374] d2[0.426] g[3.383]
>51140, d1[0.499] d2[0.254] g[4.736]
>51141, d1[0.288] d2[0.412] g[4.409]
>51142, d1[0.270] d2[0.354] g[4.427]
>51143, d1[0.383] d2[0.297] g[3.756]
>51144, d1[0.280] d2[0.399] g[3.928]
>51145, d1[0.244] d2[0.404] g[4.499]
>51146, d1[0.428] d2[0.303] g[2.615]
>51147, d1[0.284] d2[0.462] g[4.694]
>51148, d1[0.267] d2[0.370] g[4.648]
>51149, d1[0.350] d2[0.288] g[3.745]
>51150, d1[0.400] d2[0.268] g[3.761]
>51151, d1[0.298] d2[0.252] g[4.039]
>51152, d1[0.254] d2[0.501] g[4.160]
>51153, d1[0.354] d2[0.309] g[4.093]
>51154, d1[0.388] d2[0.302] g[3.305]
>51155, d1[0.157] d2[0.270] g[5.488]
>51156, d1[0.221] d2[0.256] g[4.352]
>51157, d1[0.307] d2[0.424] g[4.436]
>51158, d1[0.209] d2[0.311] g[5.082]
>51159, d1[0.327] d2[0.409] g[4.372]
>51160, d1[0.352] d2[0.427] g[3.897]
>51161, d1[0.405] d2[0.289] g[4.282]
>51162, d1[0.283] d2[0.323] g[4.558]
>51163, d1[0.321] d2[0.292] g[4.232]
>51164, d1[0.375] d2[0.457] g[3.413]
>51165, d1[0.389] d2[0.337] g[4.350]
>51166, d1[0.376] d2[0.358] g[1.553]
>51167, d1[0.265] d2[0.284] g[4.161]
>51168, d1[0.399] d2[0.381] g[3.718]
>51169, d1[0.287] d2[0.260] g[3.960]
>51170, d1[0.367] d2[0.365] g[1.756]
>51171, d1[0.224] d2[0.510] g[4.166]
>51172, d1[0.321] d2[0.312] g[3.948]
>51173, d1[0.326] d2[0.285] g[5.402]
>51174, d1[0.387] d2[0.305] g[4.379]
>51175, d1[0.233] d2[0.423] g[4.585]
>51176, d1[0.297] d2[0.320] g[5.134]
>51177, d1[0.437] d2[0.308] g[1.686]
>51178, d1[0.283] d2[0.349] g[4.989]
>51179, d1[0.286] d2[0.352] g[4.656]
>51180, d1[0.491] d2[0.272] g[3.899]
>51181, d1[0.336] d2[0.300] g[4.774]
>51182, d1[0.214] d2[0.631] g[4.498]
>51183, d1[0.320] d2[0.303] g[4.918]
>51184, d1[0.407] d2[0.297] g[4.270]
>51185, d1[0.277] d2[0.425] g[4.968]
>51186, d1[0.272] d2[0.302] g[4.319]
>51187, d1[0.241] d2[0.265] g[3.661]
>51188, d1[0.195] d2[0.305] g[5.185]
>51189, d1[0.402] d2[0.298] g[3.793]
>51190, d1[0.254] d2[0.467] g[2.864]
>51191, d1[0.352] d2[0.266] g[4.647]
>51192, d1[0.480] d2[0.358] g[2.904]
>51193, d1[0.273] d2[0.418] g[4.430]
>51194, d1[0.344] d2[0.305] g[4.208]
>51195, d1[0.409] d2[0.317] g[3.883]
>51196, d1[0.374] d2[0.315] g[4.738]
>51197, d1[0.175] d2[0.374] g[5.812]
>51198, d1[0.389] d2[0.360] g[3.180]
>51199, d1[0.337] d2[0.313] g[4.423]
>51200, d1[0.404] d2[0.293] g[4.438]
>51201, d1[0.338] d2[0.340] g[3.672]
>51202, d1[0.275] d2[0.445] g[4.609]
>51203, d1[0.279] d2[0.377] g[4.372]
>51204, d1[0.358] d2[0.332] g[4.101]
>51205, d1[0.295] d2[0.397] g[4.540]
>51206, d1[0.224] d2[0.270] g[4.294]
>51207, d1[0.468] d2[0.302] g[4.036]
>51208, d1[0.530] d2[0.260] g[3.298]
>51209, d1[0.304] d2[0.373] g[4.287]
>51210, d1[0.353] d2[0.377] g[3.741]
>51211, d1[0.378] d2[0.410] g[4.483]
>51212, d1[0.420] d2[0.367] g[2.073]
>51213, d1[0.461] d2[0.269] g[2.878]
>51214, d1[0.382] d2[0.301] g[4.741]
>51215, d1[0.356] d2[0.377] g[1.319]
>51216, d1[0.348] d2[0.295] g[4.265]
>51217, d1[0.331] d2[0.402] g[4.199]
>51218, d1[0.375] d2[0.339] g[3.227]
>51219, d1[0.223] d2[0.335] g[6.322]
>51220, d1[0.263] d2[0.337] g[4.701]
>51221, d1[0.288] d2[0.425] g[3.877]
>51222, d1[0.386] d2[0.346] g[2.541]
>51223, d1[0.358] d2[0.256] g[6.109]
>51224, d1[0.299] d2[0.339] g[4.250]
>51225, d1[0.515] d2[0.262] g[2.753]
>51226, d1[0.243] d2[0.515] g[4.319]
>51227, d1[0.475] d2[0.257] g[3.871]
>51228, d1[0.394] d2[0.299] g[5.041]
>51229, d1[0.381] d2[0.316] g[2.872]
>51230, d1[0.199] d2[0.307] g[4.388]
>51231, d1[0.230] d2[0.512] g[2.507]
>51232, d1[0.323] d2[0.278] g[4.567]
>51233, d1[0.280] d2[0.412] g[4.761]
>51234, d1[0.329] d2[0.369] g[3.832]
>51235, d1[0.338] d2[0.345] g[3.846]
>51236, d1[0.320] d2[0.354] g[4.095]
>51237, d1[0.429] d2[0.335] g[2.958]
>51238, d1[0.303] d2[0.397] g[4.597]
>51239, d1[0.224] d2[0.294] g[5.105]
>51240, d1[0.257] d2[0.264] g[4.694]
>51241, d1[0.266] d2[0.348] g[5.227]
>51242, d1[0.236] d2[0.395] g[4.901]
>51243, d1[0.403] d2[0.351] g[1.902]
>51244, d1[0.385] d2[0.313] g[2.946]
>51245, d1[0.197] d2[0.392] g[5.116]
>51246, d1[0.342] d2[0.331] g[4.617]
>51247, d1[0.482] d2[0.251] g[4.232]
>51248, d1[0.311] d2[0.346] g[4.346]
>51249, d1[0.401] d2[0.341] g[2.117]
>51250, d1[0.216] d2[0.391] g[5.043]
>51251, d1[0.488] d2[0.238] g[3.802]
>51252, d1[0.365] d2[0.258] g[4.364]
>51253, d1[0.291] d2[0.397] g[4.443]
>51254, d1[0.339] d2[0.385] g[3.177]
>51255, d1[0.383] d2[0.353] g[3.574]
>51256, d1[0.350] d2[0.383] g[4.168]
>51257, d1[0.366] d2[0.313] g[4.284]
>51258, d1[0.306] d2[0.343] g[5.072]
>51259, d1[0.151] d2[0.316] g[5.802]
>51260, d1[0.429] d2[0.285] g[3.342]
>51261, d1[0.290] d2[0.364] g[4.708]
>51262, d1[0.399] d2[0.303] g[3.806]
>51263, d1[0.421] d2[0.284] g[3.497]
>51264, d1[0.252] d2[0.391] g[4.702]
>51265, d1[0.233] d2[0.369] g[6.490]
>51266, d1[0.233] d2[0.359] g[4.499]
>51267, d1[0.267] d2[0.320] g[4.837]
>51268, d1[0.465] d2[0.268] g[2.934]
>51269, d1[0.346] d2[0.315] g[4.273]
>51270, d1[0.327] d2[0.436] g[1.197]
>51271, d1[0.359] d2[0.356] g[3.075]
>51272, d1[0.206] d2[0.395] g[4.752]
>51273, d1[0.427] d2[0.272] g[4.302]
>51274, d1[0.352] d2[0.261] g[4.796]
>51275, d1[0.357] d2[0.541] g[1.810]
>51276, d1[0.231] d2[0.346] g[7.887]
>51277, d1[0.345] d2[0.356] g[3.517]
>51278, d1[0.302] d2[0.368] g[4.297]
>51279, d1[0.367] d2[0.358] g[1.529]
>51280, d1[0.298] d2[0.343] g[4.402]
>51281, d1[0.424] d2[0.285] g[4.161]
>51282, d1[0.309] d2[0.381] g[4.755]
>51283, d1[0.429] d2[0.316] g[2.485]
>51284, d1[0.361] d2[0.401] g[4.105]
>51285, d1[0.266] d2[0.398] g[3.664]
>51286, d1[0.313] d2[0.297] g[3.786]
>51287, d1[0.257] d2[0.373] g[3.965]
>51288, d1[0.340] d2[0.411] g[2.473]
>51289, d1[0.360] d2[0.320] g[2.762]
>51290, d1[0.188] d2[0.295] g[5.090]
>51291, d1[0.413] d2[0.324] g[2.009]
>51292, d1[0.358] d2[0.390] g[1.633]
>51293, d1[0.409] d2[0.300] g[3.962]
>51294, d1[0.475] d2[0.322] g[3.295]
>51295, d1[0.240] d2[0.409] g[4.065]
>51296, d1[0.270] d2[0.349] g[4.451]
>51297, d1[0.251] d2[0.462] g[4.625]
>51298, d1[0.380] d2[0.242] g[5.997]
>51299, d1[0.345] d2[0.287] g[4.320]
>51300, d1[0.515] d2[0.232] g[3.270]
>51301, d1[0.279] d2[0.416] g[3.613]
>51302, d1[0.178] d2[0.394] g[4.156]
>51303, d1[0.330] d2[0.353] g[4.233]
>51304, d1[0.211] d2[0.276] g[5.557]
>51305, d1[0.315] d2[0.300] g[4.950]
>51306, d1[0.430] d2[0.579] g[4.269]
>51307, d1[0.427] d2[0.291] g[3.974]
>51308, d1[0.418] d2[0.350] g[3.151]
>51309, d1[0.192] d2[0.265] g[5.222]
>51310, d1[0.409] d2[0.344] g[3.015]
>51311, d1[0.322] d2[0.306] g[8.401]
>51312, d1[0.378] d2[0.348] g[1.328]
>51313, d1[0.463] d2[0.265] g[3.095]
>51314, d1[0.418] d2[0.341] g[3.508]
>51315, d1[0.221] d2[0.362] g[5.289]
>51316, d1[0.313] d2[0.372] g[3.577]
>51317, d1[0.370] d2[0.350] g[1.637]
>51318, d1[0.347] d2[0.385] g[1.517]
>51319, d1[0.299] d2[0.282] g[4.639]
>51320, d1[0.365] d2[0.357] g[1.984]
>51321, d1[0.298] d2[0.356] g[5.050]
>51322, d1[0.203] d2[0.314] g[5.270]
>51323, d1[0.204] d2[0.301] g[4.393]
>51324, d1[0.368] d2[0.343] g[1.443]
>51325, d1[0.497] d2[0.278] g[3.897]
>51326, d1[0.257] d2[0.285] g[5.095]
>51327, d1[0.333] d2[0.445] g[3.944]
>51328, d1[0.178] d2[0.421] g[4.547]
>51329, d1[0.232] d2[0.350] g[4.677]
>51330, d1[0.285] d2[0.264] g[5.540]
>51331, d1[0.274] d2[0.259] g[5.252]
>51332, d1[0.554] d2[0.238] g[3.307]
>51333, d1[0.288] d2[0.371] g[4.834]
>51334, d1[0.232] d2[0.265] g[4.183]
>51335, d1[0.219] d2[0.361] g[4.443]
>51336, d1[0.231] d2[0.311] g[5.070]
>51337, d1[0.421] d2[0.353] g[3.894]
>51338, d1[0.289] d2[0.236] g[4.281]
>51339, d1[0.214] d2[0.272] g[3.663]
>51340, d1[0.210] d2[0.650] g[4.116]
>51341, d1[0.382] d2[0.357] g[1.750]
>51342, d1[0.309] d2[0.487] g[3.875]
>51343, d1[0.408] d2[0.353] g[3.920]
>51344, d1[0.304] d2[0.350] g[4.444]
>51345, d1[0.217] d2[0.281] g[5.581]
>51346, d1[0.232] d2[0.258] g[5.139]
>51347, d1[0.392] d2[0.446] g[3.818]
>51348, d1[0.294] d2[0.269] g[5.004]
>51349, d1[0.191] d2[0.326] g[4.639]
>51350, d1[0.259] d2[0.344] g[5.399]
>51351, d1[0.415] d2[0.301] g[4.211]
>51352, d1[0.295] d2[0.331] g[4.624]
>51353, d1[0.471] d2[0.284] g[4.251]
>51354, d1[0.320] d2[0.341] g[3.622]
>51355, d1[0.354] d2[0.459] g[4.179]
>51356, d1[0.294] d2[0.386] g[2.935]
>51357, d1[0.449] d2[0.327] g[1.590]
>51358, d1[0.375] d2[0.317] g[5.048]
>51359, d1[0.428] d2[0.326] g[2.255]
>51360, d1[0.367] d2[0.361] g[1.149]
>51361, d1[0.323] d2[0.287] g[5.221]
>51362, d1[0.418] d2[0.294] g[4.023]
>51363, d1[0.197] d2[0.384] g[4.696]
>51364, d1[0.258] d2[0.358] g[4.792]
>51365, d1[0.376] d2[0.279] g[3.639]
>51366, d1[0.411] d2[0.332] g[5.166]
>51367, d1[0.247] d2[0.484] g[4.379]
>51368, d1[0.241] d2[0.424] g[5.195]
>51369, d1[0.554] d2[0.229] g[2.980]
>51370, d1[0.394] d2[0.285] g[4.415]
>51371, d1[0.391] d2[0.297] g[4.475]
>51372, d1[0.418] d2[0.386] g[2.306]
>51373, d1[0.286] d2[0.362] g[4.766]
>51374, d1[0.508] d2[0.260] g[3.669]
>51375, d1[0.249] d2[0.384] g[4.826]
>51376, d1[0.397] d2[0.324] g[3.647]
>51377, d1[0.251] d2[0.398] g[4.606]
>51378, d1[0.346] d2[0.303] g[5.096]
>51379, d1[0.216] d2[0.349] g[4.063]
>51380, d1[0.440] d2[0.287] g[2.203]
>51381, d1[0.370] d2[0.378] g[4.354]
>51382, d1[0.361] d2[0.374] g[1.111]
>51383, d1[0.441] d2[0.310] g[3.320]
>51384, d1[0.523] d2[0.243] g[2.529]
>51385, d1[0.286] d2[0.436] g[3.519]
>51386, d1[0.340] d2[0.320] g[3.732]
>51387, d1[0.239] d2[0.354] g[4.570]
>51388, d1[0.407] d2[0.345] g[3.891]
>51389, d1[0.346] d2[0.395] g[3.885]
>51390, d1[0.299] d2[0.315] g[4.431]
>51391, d1[0.379] d2[0.294] g[4.816]
>51392, d1[0.280] d2[0.372] g[4.426]
>51393, d1[0.447] d2[0.322] g[4.198]
>51394, d1[0.261] d2[0.360] g[4.641]
>51395, d1[0.274] d2[0.378] g[4.536]
>51396, d1[0.351] d2[0.267] g[4.024]
>51397, d1[0.405] d2[0.373] g[1.861]
>51398, d1[0.234] d2[0.406] g[4.910]
>51399, d1[0.469] d2[0.243] g[2.999]
>51400, d1[0.478] d2[0.254] g[3.145]
>51401, d1[0.237] d2[0.324] g[4.710]
>51402, d1[0.149] d2[0.452] g[4.421]
>51403, d1[0.301] d2[0.286] g[4.610]
>51404, d1[0.362] d2[0.316] g[4.050]
>51405, d1[0.422] d2[0.300] g[3.705]
>51406, d1[0.237] d2[0.356] g[4.449]
>51407, d1[0.341] d2[0.360] g[1.945]
>51408, d1[0.224] d2[0.264] g[4.448]
>51409, d1[0.480] d2[0.274] g[3.916]
>51410, d1[0.214] d2[0.351] g[4.663]
>51411, d1[0.336] d2[0.342] g[3.306]
>51412, d1[0.126] d2[0.277] g[5.261]
>51413, d1[0.262] d2[0.291] g[4.374]
>51414, d1[0.170] d2[0.427] g[3.808]
>51415, d1[0.292] d2[0.459] g[4.881]
>51416, d1[0.444] d2[0.282] g[3.729]
>51417, d1[0.436] d2[0.295] g[3.996]
>51418, d1[0.421] d2[0.288] g[4.002]
>51419, d1[0.306] d2[0.442] g[8.149]
>51420, d1[0.385] d2[0.337] g[1.859]
>51421, d1[0.465] d2[0.228] g[5.173]
>51422, d1[0.335] d2[0.321] g[4.647]
>51423, d1[0.356] d2[0.367] g[1.988]
>51424, d1[0.308] d2[0.369] g[4.262]
>51425, d1[0.237] d2[0.342] g[4.578]
>51426, d1[0.290] d2[0.270] g[3.084]
>51427, d1[0.335] d2[0.370] g[3.334]
>51428, d1[0.298] d2[0.510] g[2.811]
>51429, d1[0.292] d2[0.308] g[4.936]
>51430, d1[0.223] d2[0.350] g[4.638]
>51431, d1[0.453] d2[0.230] g[4.281]
>51432, d1[0.355] d2[0.331] g[4.408]
>51433, d1[0.496] d2[0.257] g[3.927]
>51434, d1[0.185] d2[0.455] g[4.749]
>51435, d1[0.394] d2[0.262] g[4.641]
>51436, d1[0.378] d2[0.368] g[2.781]
>51437, d1[0.318] d2[0.321] g[4.258]
>51438, d1[0.348] d2[0.347] g[3.903]
>51439, d1[0.333] d2[0.334] g[4.188]
>51440, d1[0.305] d2[0.370] g[3.951]
>51441, d1[0.213] d2[0.316] g[5.425]
>51442, d1[0.249] d2[0.345] g[4.922]
>51443, d1[0.382] d2[0.419] g[3.567]
>51444, d1[0.294] d2[0.357] g[4.404]
>51445, d1[0.346] d2[0.341] g[4.252]
>51446, d1[0.384] d2[0.269] g[4.223]
>51447, d1[0.232] d2[0.351] g[4.851]
>51448, d1[0.400] d2[0.328] g[1.886]
>51449, d1[0.382] d2[0.412] g[3.554]
>51450, d1[0.288] d2[0.383] g[4.416]
>51451, d1[0.261] d2[0.294] g[5.370]
>51452, d1[0.290] d2[0.426] g[4.955]
>51453, d1[0.354] d2[0.300] g[4.197]
>51454, d1[0.382] d2[0.327] g[4.421]
>51455, d1[0.419] d2[0.313] g[3.673]
>51456, d1[0.326] d2[0.438] g[3.564]
>51457, d1[0.303] d2[0.410] g[3.452]
>51458, d1[0.263] d2[0.388] g[4.424]
>51459, d1[0.243] d2[0.346] g[4.448]
>51460, d1[0.449] d2[0.300] g[3.052]
>51461, d1[0.396] d2[0.266] g[5.340]
>51462, d1[0.457] d2[0.299] g[2.327]
>51463, d1[0.345] d2[0.337] g[5.012]
>51464, d1[0.303] d2[0.414] g[3.639]
>51465, d1[0.244] d2[0.446] g[4.956]
>51466, d1[0.434] d2[0.273] g[3.784]
>51467, d1[0.339] d2[0.336] g[4.263]
>51468, d1[0.298] d2[0.327] g[3.687]
>51469, d1[0.379] d2[0.310] g[3.924]
>51470, d1[0.202] d2[0.378] g[3.571]
>51471, d1[0.338] d2[0.499] g[3.842]
>51472, d1[0.317] d2[0.394] g[4.280]
>51473, d1[0.365] d2[0.330] g[4.317]
>51474, d1[0.252] d2[0.391] g[4.739]
>51475, d1[0.307] d2[0.281] g[5.041]
>51476, d1[0.385] d2[0.443] g[2.804]
>51477, d1[0.482] d2[0.311] g[3.726]
>51478, d1[0.293] d2[0.334] g[4.607]
>51479, d1[0.442] d2[0.368] g[2.386]
>51480, d1[0.360] d2[0.298] g[6.430]
>51481, d1[0.365] d2[0.379] g[3.081]
>51482, d1[0.302] d2[0.351] g[4.574]
>51483, d1[0.289] d2[0.330] g[4.915]
>51484, d1[0.318] d2[0.322] g[4.514]
>51485, d1[0.269] d2[0.372] g[3.986]
>51486, d1[0.264] d2[0.277] g[5.168]
>51487, d1[0.355] d2[0.382] g[4.061]
>51488, d1[0.294] d2[0.290] g[4.640]
>51489, d1[0.368] d2[0.448] g[1.479]
>51490, d1[0.244] d2[0.278] g[4.610]
>51491, d1[0.216] d2[0.526] g[4.667]
>51492, d1[0.480] d2[0.281] g[2.910]
>51493, d1[0.347] d2[0.327] g[5.604]
>51494, d1[0.523] d2[0.247] g[3.145]
>51495, d1[0.254] d2[0.365] g[4.762]
>51496, d1[0.381] d2[0.389] g[2.128]
>51497, d1[0.263] d2[0.346] g[4.823]
>51498, d1[0.275] d2[0.254] g[5.081]
>51499, d1[0.364] d2[0.371] g[5.281]
>51500, d1[0.273] d2[0.447] g[4.714]
>51501, d1[0.382] d2[0.303] g[3.818]
>51502, d1[0.474] d2[0.265] g[2.746]
>51503, d1[0.356] d2[0.388] g[1.450]
>51504, d1[0.357] d2[0.348] g[4.145]
>51505, d1[0.321] d2[0.319] g[4.559]
>51506, d1[0.278] d2[0.389] g[4.056]
>51507, d1[0.305] d2[0.360] g[4.063]
>51508, d1[0.214] d2[0.313] g[5.985]
>51509, d1[0.376] d2[0.316] g[4.364]
>51510, d1[0.437] d2[0.235] g[4.411]
>51511, d1[0.400] d2[0.312] g[4.070]
>51512, d1[0.189] d2[0.482] g[4.635]
>51513, d1[0.417] d2[0.270] g[3.188]
>51514, d1[0.448] d2[0.306] g[2.807]
>51515, d1[0.406] d2[0.336] g[2.913]
>51516, d1[0.396] d2[0.326] g[4.085]
>51517, d1[0.410] d2[0.263] g[4.057]
>51518, d1[0.318] d2[0.338] g[4.098]
>51519, d1[0.274] d2[0.422] g[2.349]
>51520, d1[0.240] d2[0.373] g[3.808]
>51521, d1[0.346] d2[0.369] g[1.902]
>51522, d1[0.301] d2[0.294] g[4.766]
>51523, d1[0.193] d2[0.339] g[4.808]
>51524, d1[0.377] d2[0.312] g[4.991]
>51525, d1[0.194] d2[0.360] g[4.915]
>51526, d1[0.395] d2[0.366] g[2.477]
>51527, d1[0.278] d2[0.357] g[6.809]
>51528, d1[0.392] d2[0.281] g[3.999]
>51529, d1[0.363] d2[0.350] g[3.643]
>51530, d1[0.515] d2[0.259] g[3.568]
>51531, d1[0.426] d2[0.328] g[2.899]
>51532, d1[0.184] d2[0.531] g[3.499]
>51533, d1[0.209] d2[0.345] g[4.449]
>51534, d1[0.321] d2[0.281] g[5.021]
>51535, d1[0.273] d2[0.274] g[4.060]
>51536, d1[0.274] d2[0.371] g[3.974]
>51537, d1[0.224] d2[0.458] g[6.612]
>51538, d1[0.475] d2[0.244] g[2.893]
>51539, d1[0.301] d2[0.317] g[5.214]
>51540, d1[0.273] d2[0.285] g[5.196]
>51541, d1[0.232] d2[0.430] g[5.090]
>51542, d1[0.445] d2[0.275] g[3.804]
>51543, d1[0.366] d2[0.320] g[4.559]
>51544, d1[0.218] d2[0.320] g[5.012]
>51545, d1[0.376] d2[0.244] g[4.312]
>51546, d1[0.206] d2[0.295] g[3.299]
>51547, d1[0.451] d2[0.267] g[3.442]
>51548, d1[0.512] d2[0.251] g[3.402]
>51549, d1[0.172] d2[0.329] g[5.737]
>51550, d1[0.166] d2[0.285] g[5.141]
>51551, d1[0.171] d2[0.439] g[6.235]
>51552, d1[0.323] d2[0.270] g[5.283]
>51553, d1[0.454] d2[0.271] g[4.674]
>51554, d1[0.495] d2[0.259] g[3.650]
>51555, d1[0.321] d2[0.302] g[3.704]
>51556, d1[0.314] d2[0.360] g[3.894]
